,0
0,Minnesota
1,Oregon
2,Washington
3,West Virginia
4,Missouri
5,Oklahoma
6,Nebraska
7,Pennsylvania
8,Wisconsin
9,Idaho
10,Massachusetts
11,Montana
12,North Dakota
13,Colorado
14,Michigan
15,Alaska
16,Delaware
17,New Mexico
18,Louisiana
19,Arizona
20,Texas
21,New Jersey
22,Rhode Island
23,Hawaii
24,Illinois
25,Iowa
26,Maine
27,Utah
28,North Carolina
29,Wyoming
30,Maryland
31,Alabama
32,Vermont
33,Indiana
34,Tennessee
35,Georgia
36,Kentucky
37,Mississippi
38,Nevada
39,Virginia
40,Arkansas
41,South Dakota
42,Connecticut
43,Kansas
44,New Hampshire
45,South Carolina
